IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad,Maniobra,Magnitud
5,175,894.452,21.7423,72.8421,72.8421,0.994378,1,-68.3771
5,176,894.452,21.7423,72.0951,72.0951,1,1,-67.6335
5,177,894.452,21.7423,67.3479,67.3479,1,1,-62.9079
5,178,894.452,21.7423,59.1301,59.1301,1,1,-54.7275
5,179,894.452,21.7423,53.4106,53.4106,1,1,-49.034
5,180,894.452,21.7423,54.6273,54.6273,0.998641,1,-50.2452
5,181,894.452,21.7423,55.1967,55.1967,0.999364,1,-50.812
5,182,894.452,21.7423,54.9633,54.9633,1,1,-50.5796
5,183,894.452,21.7423,57.9024,57.9024,0.996719,1,-53.5054
5,184,894.452,21.7423,67.4243,67.4243,0.989411,1,-62.9839
5,185,894.452,21.7423,68.4456,68.4456,0.998859,1,-64.0006
5,186,894.452,21.7423,64.0824,64.0824,1,1,-59.6572
5,187,894.452,21.7423,73.1838,73.1838,0.989876,1,-68.7172
5,188,894.452,21.7423,68.6661,68.6661,1,1,-64.2201
5,189,894.452,21.7423,68.7319,68.7319,0.999926,1,-64.2856
5,190,894.452,21.7423,73.0932,73.0932,0.995136,1,-68.627
5,191,894.452,21.7423,78.7223,78.7223,0.993726,1,-74.2305
5,192,894.452,21.7423,86.1055,86.1055,0.99178,1,-81.5801
5,193,894.452,21.7423,79.7681,79.7681,1,1,-75.2715
5,194,894.452,21.7423,71.4752,71.4752,1,1,-67.0164
5,195,894.452,21.7423,78.0018,78.0018,0.99273,1,-73.5133
5,196,894.452,21.7423,69.2487,69.2487,1,1,-64.8
5,197,894.452,21.7423,75.0161,75.0161,0.993573,1,-70.5412
5,198,894.452,21.7423,66.0847,66.0847,1,1,-61.6504
5,199,894.452,21.7423,62.2434,62.2434,1,1,-57.8266
5,200,894.452,21.7423,59.1471,59.1471,1,1,-54.7444
5,201,894.452,21.7423,58.2128,58.2128,1,1,-53.8143
5,202,894.452,21.7423,51.0622,51.0622,1,1,-46.6963
5,203,894.452,21.7423,45.7883,45.7883,1,1,-41.4464
5,204,894.452,21.7423,46.829,46.829,0.998837,1,-42.4824
5,205,894.452,21.7423,43.1604,43.1604,1,1,-38.8305
5,206,894.452,21.7423,43.7919,43.7919,0.999294,1,-39.4591
5,207,894.452,21.7423,40.0768,40.0768,1,1,-35.7609
5,208,894.452,21.7423,37.4988,37.4988,1,1,-33.1946
5,209,894.452,21.7423,46.3225,46.3225,0.990184,1,-41.9782
